title,company,location,stipend,detail_url,role_category,skills,cleaned_text,extracted_skills
Java Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-java-development-internship-at-queens-of-change-foundation1787049304,Web Developer,"HTML, Java, Certificate, Letter of recommendation, Flexible work hours, Job offer",html java certificate letter of recommendation flexible work hours job offer,"['html', 'java']"
Full Stack Development,Basti Ki Pathshala Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-basti-ki-pathshala-foundation1787049206,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Python Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-nayepankh-foundation1787048747,Web Developer,"CSS, Django, Flask, HTML, Machine Learning, Python, REST API, Certificate, Letter of recommendation, Flexible work hours, Job offer",css django flask html machine learning python rest api certificate letter of recommendation flexible work hours job offer,"['api', 'css', 'django', 'flask', 'html', 'machine learning', 'python', 'rest api']"
Front End Development,Finflock Systems Private Limited,,"₹ 14,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-finflock-systems-private-limited1787043701,Web Developer,"APIs, Debugging, FastAPI, Node.js, Python, React, REST API, Troubleshooting, Web development, Certificate",apis debugging fastapi node.js python react rest api troubleshooting web development certificate,"['api', 'node.js', 'python', 'react', 'rest api']"
Full Stack Development,Inno International Management Consultants Private Limited,,"₹ 6,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-delhi-at-inno-international-management-consultants-private-limited1787042808,Web Developer,"AngularJS, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React",angularjs css html javascript mongodb mysql node.js php python react,"['css', 'html', 'javascript', 'mongodb', 'mysql', 'node.js', 'php', 'python', 'react']"
Security Engineer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/security-engineer-internship-in-multiple-locations-at-tsteps-private-limited1787040042,Web Developer,"Cloud security, Encryption, Linux, TCP/IP, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",cloud security encryption linux tcp ip certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,['linux']
Software Development,Sapaad Software Private Limited,,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-sapaad-software-private-limited1787039655,Web Developer,"APIs, Backend development, Effective Communication, Frontend development, Git, PostgreSQL, Problem Solving, Product Development, Redis",apis backend development effective communication frontend development git postgresql problem solving product development redis,"['git', 'postgresql', 'problem solving']"
AI Tech,Quantazone,,"₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-ai-tech-internship-at-quantazone1787039458,Web Developer,"AI Image Generation, AI Video Generation, AI Voiceover, Artificial intelligence, ChatGPT, Claude, Digital Marketing, Digital Marketing Tools, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Frontend development, Gemini, Generative AI Tools, No?code development, Prompt Engineering, Search Engine Optimization (SEO), Troubleshooting, WordPress, Certificate",ai image generation ai video generation ai voiceover artificial intelligence chatgpt claude digital marketing digital marketing tools effective communication english proficiency spoken english proficiency written frontend development gemini generative ai tools no code development prompt engineering search engine optimization seo troubleshooting wordpress certificate,['wordpress']
Software Automation Engineer,AirDive Digital,,"₹ 5,000 - 11,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-software-automation-engineer-internship-at-airdive-digital1787039444,Web Developer,"Database Management System (DBMS), GitHub, Node.js, REST API, Web development, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",database management system dbms github node.js rest api web development certificate letter of recommendation flexible work hours 5 days a week job offer,"['api', 'github', 'node.js', 'rest api']"
Full Stack Developer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/full-stack-developer-internship-in-multiple-locations-at-tsteps-private-limited1787039308,Web Developer,".NET, Gitlab, JavaScript, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",.net gitlab javascript rest api certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,"['api', 'javascript', 'rest api']"
Web Development,Truly IAS,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-truly-ias1787038313,Web Developer,"CSS, HTML, JavaScript, MySQL, Next.js, Node.js, React, Certificate, Letter of recommendation, Flexible work hours",css html javascript mysql next.js node.js react certificate letter of recommendation flexible work hours,"['css', 'html', 'javascript', 'mysql', 'next.js', 'node.js', 'react']"
Software Engineer,Mediahh Studio,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-software-engineer-internship-at-mediahh-studio1787036955,Web Developer,"Dart, Express.js, Flutter, Git, NestJS, Node.js, PostgreSQL, REST API, Certificate",dart express.js flutter git nestjs node.js postgresql rest api certificate,"['api', 'express.js', 'git', 'node.js', 'postgresql', 'rest api']"
Angular.js Development,Bluealgo,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/work-from-home-angularjs-development-internship-at-bluealgo1787029519,Web Developer,"Angular 2.0, Angular 7.0, AngularJS, CSS, HTML, JavaScript, Node.js, REST API, Certificate",angular 2.0 angular 7.0 angularjs css html javascript node.js rest api certificate,"['angular', 'api', 'css', 'html', 'javascript', 'node.js', 'rest api']"
Front End Development,Finflock Systems Private Limited,,"₹ 14,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-finflock-systems-private-limited1787043701,Web Developer,"APIs, Debugging, FastAPI, Node.js, Python, React, REST API, Troubleshooting, Web development, Certificate",apis debugging fastapi node.js python react rest api troubleshooting web development certificate,"['api', 'node.js', 'python', 'react', 'rest api']"
Full Stack Development,Inno International Management Consultants Private Limited,,"₹ 6,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-delhi-at-inno-international-management-consultants-private-limited1787042808,Web Developer,"AngularJS, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React",angularjs css html javascript mongodb mysql node.js php python react,"['css', 'html', 'javascript', 'mongodb', 'mysql', 'node.js', 'php', 'python', 'react']"
Security Engineer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/security-engineer-internship-in-multiple-locations-at-tsteps-private-limited1787040042,Web Developer,"Cloud security, Encryption, Linux, TCP/IP, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",cloud security encryption linux tcp ip certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,['linux']
Software Development,Sapaad Software Private Limited,,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-sapaad-software-private-limited1787039655,Web Developer,"APIs, Backend development, Effective Communication, Frontend development, Git, PostgreSQL, Problem Solving, Product Development, Redis",apis backend development effective communication frontend development git postgresql problem solving product development redis,"['git', 'postgresql', 'problem solving']"
AI Tech,Quantazone,,"₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-ai-tech-internship-at-quantazone1787039458,Web Developer,"AI Image Generation, AI Video Generation, AI Voiceover, Artificial intelligence, ChatGPT, Claude, Digital Marketing, Digital Marketing Tools, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Frontend development, Gemini, Generative AI Tools, No?code development, Prompt Engineering, Search Engine Optimization (SEO), Troubleshooting, WordPress, Certificate",ai image generation ai video generation ai voiceover artificial intelligence chatgpt claude digital marketing digital marketing tools effective communication english proficiency spoken english proficiency written frontend development gemini generative ai tools no code development prompt engineering search engine optimization seo troubleshooting wordpress certificate,['wordpress']
Software Automation Engineer,AirDive Digital,,"₹ 5,000 - 11,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-software-automation-engineer-internship-at-airdive-digital1787039444,Web Developer,"Database Management System (DBMS), GitHub, Node.js, REST API, Web development, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",database management system dbms github node.js rest api web development certificate letter of recommendation flexible work hours 5 days a week job offer,"['api', 'github', 'node.js', 'rest api']"
Full Stack Developer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/full-stack-developer-internship-in-multiple-locations-at-tsteps-private-limited1787039308,Web Developer,".NET, Gitlab, JavaScript, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",.net gitlab javascript rest api certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,"['api', 'javascript', 'rest api']"
Web Development,Truly IAS,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-truly-ias1787038313,Web Developer,"CSS, HTML, JavaScript, MySQL, Next.js, Node.js, React, Certificate, Letter of recommendation, Flexible work hours",css html javascript mysql next.js node.js react certificate letter of recommendation flexible work hours,"['css', 'html', 'javascript', 'mysql', 'next.js', 'node.js', 'react']"
Software Engineer,Mediahh Studio,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-software-engineer-internship-at-mediahh-studio1787036955,Web Developer,"Dart, Express.js, Flutter, Git, NestJS, Node.js, PostgreSQL, REST API, Certificate",dart express.js flutter git nestjs node.js postgresql rest api certificate,"['api', 'express.js', 'git', 'node.js', 'postgresql', 'rest api']"
Angular.js Development,Bluealgo,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/work-from-home-angularjs-development-internship-at-bluealgo1787029519,Web Developer,"Angular 2.0, Angular 7.0, AngularJS, CSS, HTML, JavaScript, Node.js, REST API, Certificate",angular 2.0 angular 7.0 angularjs css html javascript node.js rest api certificate,"['angular', 'api', 'css', 'html', 'javascript', 'node.js', 'rest api']"
AI Prompt Engineering,InAmigos Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-ai-prompt-engineering-internship-at-inamigos-foundation1787035109,Web Developer,"English Proficiency (Spoken), English Proficiency (Written), Web development, Certificate, Letter of recommendation, Flexible work hours",english proficiency spoken english proficiency written web development certificate letter of recommendation flexible work hours,[]
Pipeline Development,NY VFXWAALA,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/pipeline-development-internship-in-mumbai-at-ny-vfxwaala1787034937,Web Developer,"C++ Programming, Java, Python, Letter of recommendation, Informal dress code",c++ programming java python letter of recommendation informal dress code,"['c++', 'java', 'python']"
Backend Development,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-tsteps-private-limited1787032814,Web Developer,"Django, Express.js, HTML, Java, MongoDB, MySQL, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",django express.js html java mongodb mysql certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,"['django', 'express.js', 'html', 'java', 'mongodb', 'mysql']"
Full Stack Development,Experiences.digital,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-gurgaon-at-experiencesdigital1787032271,Web Developer,"JavaScript, MongoDB, Node.js, React, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",javascript mongodb node.js react certificate letter of recommendation flexible work hours informal dress code 5 days a week,"['javascript', 'mongodb', 'node.js', 'react']"
Front End Development,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-multiple-locations-at-tsteps-private-limited1787031049,Web Developer,"AngularJS, CSS, HTML, JavaScript, jQuery, Node.js, React, Redux, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",angularjs css html javascript jquery node.js react redux rest api certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,"['api', 'css', 'html', 'javascript', 'jquery', 'node.js', 'react', 'rest api']"
Software Engineer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/software-engineer-internship-in-multiple-locations-at-tsteps-private-limited1787030682,Web Developer,"Java, JavaScript, Python, TypeScript, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",java javascript python typescript certificate letter of recommendation flexible work hours informal dress code 5 days a week free snacks beverages,"['java', 'javascript', 'python', 'typescript']"
Software Development,"PowerPoint-Generator-API (London, United Kingdom)",,"₹ 19,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-powerpoint-generator-api1787026684,Web Developer,"Amazon EC2, Artificial intelligence, Django, PostgreSQL, Python, React, TypeScript, Letter of recommendation, 5 days a week",amazon ec2 artificial intelligence django postgresql python react typescript letter of recommendation 5 days a week,"['django', 'postgresql', 'python', 'react', 'typescript']"
AI-Native App Development,Builtly AI Private Limited,,"₹ 15,000 /month",https://internshala.com/internship/detail/ai-native-app-development-internship-in-hyderabad-at-builtly-ai-private-limited1787020215,Web Developer,"Mobile Application Development, React, React Native, Web development, Certificate, Letter of recommendation",mobile application development react react native web development certificate letter of recommendation,['react']
Java Development,Optimasys,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-java-development-internship-at-optimasys1787018476,Web Developer,"Hibernate ORM(Java), J2EE, Java, JSP, MySQL, Spring MVC, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",hibernate orm java j2ee java jsp mysql spring mvc certificate letter of recommendation flexible work hours 5 days a week,"['java', 'mysql']"
Web Development,Optimasys,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-optimasys1787018443,Web Developer,"Bootstrap, CSS, HTML, JavaScript, jQuery, MySQL, Node.js, PHP, React, WordPress, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",bootstrap css html javascript jquery mysql node.js php react wordpress certificate letter of recommendation flexible work hours 5 days a week,"['bootstrap', 'css', 'html', 'javascript', 'jquery', 'mysql', 'node.js', 'php', 'react', 'wordpress']"
Python Development,Optimasys,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-python-development-internship-at-optimasys1787018409,Web Developer,"CSS, Django, Flask, HTML, Machine Learning, Python, REST API, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",css django flask html machine learning python rest api certificate letter of recommendation flexible work hours 5 days a week,"['api', 'css', 'django', 'flask', 'html', 'machine learning', 'python', 'rest api']"
Java Development,24Coordinates Pvt Ltd,,"₹ 7,000 /month",https://internshala.com/internship/detail/java-development-internship-in-bangalore-at-24coordinates-pvt-ltd1786965752,Web Developer,"Java, JSP, Oracle, Spring MVC",java jsp oracle spring mvc,['java']
AI Full Stack Developer,Moguls Online Private Limited,,"₹ 10,000 - 12,000 /month",https://internshala.com/internship/detail/ai-full-stack-developer-internship-in-delhi-at-moguls-online-private-limited1786967841,Web Developer,"Debugging, GitHub, GitHub Copilot (GenAI), LLMOps, Problem Solving, Prompt Engineering, Python, REST API, Letter of recommendation, Informal dress code",debugging github github copilot genai llmops problem solving prompt engineering python rest api letter of recommendation informal dress code,"['api', 'github', 'problem solving', 'python', 'rest api']"
Full Stack Development,Pledge India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-pledge-india-foundation1786966587,Web Developer,"English Proficiency (Spoken), HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",english proficiency spoken html certificate letter of recommendation flexible work hours job offer,['html']
Web Development,Pledge India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-pledge-india-foundation1786966499,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Front End Development,Women First India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-women-first-india-foundation1786966298,Web Developer,"Frontend development, HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",frontend development html certificate letter of recommendation flexible work hours job offer,['html']
Front End Development,Hope Behind Tails Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-hope-behind-tails-foundation1786965815,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Web Development,Hope Behind Tails Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-hope-behind-tails-foundation1786965754,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Backend Development,Hope Behind Tails Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-hope-behind-tails-foundation1786965729,Web Developer,"Backend development, HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",backend development html certificate letter of recommendation flexible work hours job offer,['html']
Web Development,Basti Ki Pathshala Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-basti-ki-pathshala-foundation1786965422,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Java Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-java-development-internship-at-nayepankh-foundation1786963771,Web Developer,"HTML, Java, Certificate, Letter of recommendation, Flexible work hours, Job offer",html java certificate letter of recommendation flexible work hours job offer,"['html', 'java']"
Full Stack Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-nayepankh-foundation1786963753,Web Developer,"HTML, Web development, Certificate, Letter of recommendation, Flexible work hours, Job offer",html web development certificate letter of recommendation flexible work hours job offer,['html']
Front End Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-nayepankh-foundation1786963710,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Software Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-software-development-internship-at-queens-of-change-foundation1786963485,Web Developer,".NET, C++ Programming, CSS, English Proficiency (Spoken), HTML, Java, JavaScript, MySQL, Node.js, Product Development, Product Lifecycle Management(PLM), Project Management, Python, React, Software Development Life Cycle (SDLC), Software Testing, Troubleshooting, Certificate, Letter of recommendation, Flexible work hours, Job offer",.net c++ programming css english proficiency spoken html java javascript mysql node.js product development product lifecycle management plm project management python react software development life cycle sdlc software testing troubleshooting certificate letter of recommendation flexible work hours job offer,"['c++', 'css', 'html', 'java', 'javascript', 'mysql', 'node.js', 'python', 'react']"
Digital Marketing,AI Vantage Tech Services Private Limited,,"₹ 3,000 - 8,000 /month",https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-ghaziabad-at-ai-vantage-tech-services-private-limited1786960943,Web Developer,"Digital Marketing, Email Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Web Design, Web development, Certificate, Flexible work hours, Informal dress code, Job offer",digital marketing email marketing search engine marketing sem search engine optimization seo social media marketing web design web development certificate flexible work hours informal dress code job offer,[]
Applied AI & Full Stack Engineering,Geopage Conultants,,"₹ 7,500 - 10,000 /month",https://internshala.com/internship/detail/applied-ai-full-stack-engineering-internship-in-bangalore-at-geopage-conultants1786960887,Web Developer,"Generative AI Tools, GIS, Machine Learning, PostgreSQL, Python, React, Certificate, Letter of recommendation",generative ai tools gis machine learning postgresql python react certificate letter of recommendation,"['machine learning', 'postgresql', 'python', 'react']"
WordPress Development,Grivaa Consultancy Services,,"₹ 5,000 - 8,000 /month",https://internshala.com/internship/detail/work-from-home-wordpress-development-internship-at-grivaa-consultancy-services1786959582,Web Developer,"Artificial intelligence, Content Management, Search Engine Optimization (SEO), Web development, WordPress, Certificate, Flexible work hours",artificial intelligence content management search engine optimization seo web development wordpress certificate flexible work hours,['wordpress']
Django Rest Framework,Tradexa Technologies Private Limited,,"₹ 15,000 - 17,100 /month",https://internshala.com/internship/detail/django-rest-framework-internship-in-pune-at-tradexa-technologies-private-limited1786952962,Web Developer,"AWS Lambda, CI/CD, Django, Django Rest Framework, Docker, FastAPI, Flask, Git, JSON, Microservices, Python, REST API, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer",aws lambda ci cd django django rest framework docker fastapi flask git json microservices python rest api certificate letter of recommendation informal dress code 5 days a week job offer,"['api', 'aws', 'django', 'docker', 'flask', 'git', 'python', 'rest api']"
Founders Office (Technical),Dopties,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/founders-office-technical-internship-in-pune-at-dopties1786952423,Web Developer,"Backend development, Key Account Management, Next.js, React, Research and Analytics, Search Engine Optimization (SEO), Shadcn, SQL, Strategy, Tailwind CSS, TypeScript, Certificate, Letter of recommendation, Informal dress code",backend development key account management next.js react research and analytics search engine optimization seo shadcn sql strategy tailwind css typescript certificate letter of recommendation informal dress code,"['css', 'next.js', 'react', 'sql', 'tailwind css', 'typescript']"
MERN Stack Developer,SellerGrid,,"₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-mern-stack-developer-internship-at-sellergrid1786949271,Web Developer,"Amazon EC2, AWS Lambda, Google Cloud Platforms (GCP), MongoDB, NestJS, Node.js, React, Tailwind CSS, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",amazon ec2 aws lambda google cloud platforms gcp mongodb nestjs node.js react tailwind css certificate letter of recommendation flexible work hours 5 days a week job offer,"['aws', 'css', 'mongodb', 'node.js', 'react', 'tailwind css']"
