title,company,location,stipend,detail_url,role_category,skills
Software Development,TEN,,"₹ 2,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-ten1785048851,Web Developer,"Java, Node.js, Python, React, Certificate, Letter of recommendation, Flexible work hours, 5 days a week"
Front End Development,Synergy Labs,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-multiple-locations-at-synergy-labs1786004884,Web Developer,"CSS, HTML, JavaScript, Node.js, React"
Front End Development,Assetcues Solutions Private Limited,,"₹ 7,000 - 10,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-ahmedabad-at-assetcues-solutions-private-limited1786087667,Web Developer,"CSS, Git, HTML, jQuery, Certificate"
Web Development,Ashish Kirodiwal,,"₹ 4,000 - 6,000 /month",https://internshala.com/internship/detail/web-development-internship-in-jaipur-at-ashish-kirodiwal1787051944,Web Developer,"Bootstrap, CSS, HTML, JavaScript, Node.js, PHP, React, Certificate, Informal dress code"
Software Engineering - FrontEnd,7CODEARENA PRIVATE LIMITED,,"₹ 5,500 - 8,000 /month",https://internshala.com/internship/detail/software-engineering-frontend-internship-in-patna-at-7codearena-private-limited1787054114,Web Developer,"MERN, Software Testing, Certificate, Letter of recommendation, 5 days a week"
Python Developer,Career Weaver,,"₹ 15,000 /month",https://internshala.com/internship/detail/python-developer-internship-in-multiple-locations-at-career-weaver1787053803,Web Developer,"Python, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages"
AI Agent Development,Ritumbhara Resort,,"₹ 6,000 - 13,000 /month",https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-ritumbhara-resort1787053321,Web Developer,"Git, JavaScript, Next.js, Node.js, PostgreSQL, React, REST API, TypeScript, Certificate, Letter of recommendation, Flexible work hours"
Digital Marketing,Onestop4wellness,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-onestop4wellness1786971194,Web Developer,"Digital Marketing, Google My Business, Social Media Marketing, Web development, Certificate, Letter of recommendation, Flexible work hours, Informal dress code"
Computer Operator,K4 Media & Technologies,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/computer-operator-internship-in-jaipur-at-k4-media-technologies1786950154,Web Developer,"English Proficiency (Written), MS-Office, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages"
AI & Automation Developer Intern,Perform Digital,,"₹ 6,000 - 10,000 /month",https://internshala.com/internship/detail/ai-automation-developer-intern-internship-in-allahabad-at-perform-digital1786353300,Web Developer,"Generative AI Development, GitHub, Java, Node.js, Python"
Backend Development,EmpowerU (Promorph Solutions Private Limited),,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-empoweru-promorph-solutions-private-limited1785732229,Web Developer,"Cloud Firestore, Computer Networks, Express.js, Git, Google Cloud Platforms (GCP), MongoDB, Node.js, Python, REST API, Certificate, Letter of recommendation, Job offer"
Web Development,S2S Web Technology,,"₹ 3,000 - 4,000 /month",https://internshala.com/internship/detail/web-development-internship-in-tiruchirappalli-at-s2s-web-technology1785222717,Web Developer,"Computer skills, Web Design, Web development, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages"
PHP Development,Techno Particles,,"₹ 4,000 - 10,000 /month",https://internshala.com/internship/detail/php-development-internship-in-agra-at-techno-particles1784829728,Web Developer,"CSS, HTML, JavaScript, MySQL, PHP"
Full Stack Development,Code Craft Computer Academy,,"₹ 8,000 - 12,500 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-greater-noida-west-at-code-craft-computer-academy1784550010,Web Developer,"CSS, HTML, JavaScript, MongoDB, Node.js, React, Certificate, Informal dress code, Free snacks & beverages"
Front End Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-part-time-front-end-development-internship-at-nayepankh-foundation1787056302,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Full Stack Development,Zryth Solutions Private Limited,,"₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-zryth-solutions-private-limited1787055688,Web Developer,"Cursor (GenAI), Data Structures, Django, FastAPI, Python, React, Certificate, Letter of recommendation"
Full Stack Development,Devaashatha,,"₹ 5,000 - 6,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-full-stack-development-internship-at-devaashatha1787055418,Web Developer,"AngularJS, APIs, Bubble.io, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React, REST API"
Web Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-nayepankh-foundation1787053646,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Backend Development,BookByChat,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-bookbychat1787053407,Web Developer,"Node.js, PostgreSQL, REST API, TypeScript, Certificate, Letter of recommendation, Flexible work hours"
Full Stack Development,GOWELLBEING HEALTH TECHNOLOGY APPLICATIONS PRIVATE LIMITED,,"₹ 3,000 /month",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-gowellbeing-health-technology-applications-private-limited1787045248,Web Developer,"MongoDB, Node.js, React, TypeScript, Certificate, Letter of recommendation"
Java Development,Pledge India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-java-development-internship-at-pledge-india-foundation1787049978,Web Developer,"HTML, Java, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Full Stack Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-queens-of-change-foundation1787049365,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Backend Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-queens-of-change-foundation1787049346,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Web Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-queens-of-change-foundation1787049325,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Java Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-java-development-internship-at-queens-of-change-foundation1787049304,Web Developer,"HTML, Java, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Full Stack Development,Basti Ki Pathshala Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-basti-ki-pathshala-foundation1787049206,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Python Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-nayepankh-foundation1787048747,Web Developer,"CSS, Django, Flask, HTML, Machine Learning, Python, REST API, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Front End Development,Finflock Systems Private Limited,,"₹ 14,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-finflock-systems-private-limited1787043701,Web Developer,"APIs, Debugging, FastAPI, Node.js, Python, React, REST API, Troubleshooting, Web development, Certificate"
Full Stack Development,Inno International Management Consultants Private Limited,,"₹ 6,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-delhi-at-inno-international-management-consultants-private-limited1787042808,Web Developer,"AngularJS, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React"
Security Engineer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/security-engineer-internship-in-multiple-locations-at-tsteps-private-limited1787040042,Web Developer,"Cloud security, Encryption, Linux, TCP/IP, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Software Development,Sapaad Software Private Limited,,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-sapaad-software-private-limited1787039655,Web Developer,"APIs, Backend development, Effective Communication, Frontend development, Git, PostgreSQL, Problem Solving, Product Development, Redis"
AI Tech,Quantazone,,"₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-ai-tech-internship-at-quantazone1787039458,Web Developer,"AI Image Generation, AI Video Generation, AI Voiceover, Artificial intelligence, ChatGPT, Claude, Digital Marketing, Digital Marketing Tools, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Frontend development, Gemini, Generative AI Tools, No?code development, Prompt Engineering, Search Engine Optimization (SEO), Troubleshooting, WordPress, Certificate"
Software Automation Engineer,AirDive Digital,,"₹ 5,000 - 11,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-software-automation-engineer-internship-at-airdive-digital1787039444,Web Developer,"Database Management System (DBMS), GitHub, Node.js, REST API, Web development, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer"
Full Stack Developer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/full-stack-developer-internship-in-multiple-locations-at-tsteps-private-limited1787039308,Web Developer,".NET, Gitlab, JavaScript, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Web Development,Truly IAS,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-truly-ias1787038313,Web Developer,"CSS, HTML, JavaScript, MySQL, Next.js, Node.js, React, Certificate, Letter of recommendation, Flexible work hours"
Software Engineer,Mediahh Studio,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-software-engineer-internship-at-mediahh-studio1787036955,Web Developer,"Dart, Express.js, Flutter, Git, NestJS, Node.js, PostgreSQL, REST API, Certificate"
Angular.js Development,Bluealgo,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/work-from-home-angularjs-development-internship-at-bluealgo1787029519,Web Developer,"Angular 2.0, Angular 7.0, AngularJS, CSS, HTML, JavaScript, Node.js, REST API, Certificate"
Front End Development,Finflock Systems Private Limited,,"₹ 14,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-finflock-systems-private-limited1787043701,Web Developer,"APIs, Debugging, FastAPI, Node.js, Python, React, REST API, Troubleshooting, Web development, Certificate"
Full Stack Development,Inno International Management Consultants Private Limited,,"₹ 6,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-delhi-at-inno-international-management-consultants-private-limited1787042808,Web Developer,"AngularJS, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React"
Security Engineer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/security-engineer-internship-in-multiple-locations-at-tsteps-private-limited1787040042,Web Developer,"Cloud security, Encryption, Linux, TCP/IP, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Software Development,Sapaad Software Private Limited,,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-sapaad-software-private-limited1787039655,Web Developer,"APIs, Backend development, Effective Communication, Frontend development, Git, PostgreSQL, Problem Solving, Product Development, Redis"
AI Tech,Quantazone,,"₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-ai-tech-internship-at-quantazone1787039458,Web Developer,"AI Image Generation, AI Video Generation, AI Voiceover, Artificial intelligence, ChatGPT, Claude, Digital Marketing, Digital Marketing Tools, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Frontend development, Gemini, Generative AI Tools, No?code development, Prompt Engineering, Search Engine Optimization (SEO), Troubleshooting, WordPress, Certificate"
Software Automation Engineer,AirDive Digital,,"₹ 5,000 - 11,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-software-automation-engineer-internship-at-airdive-digital1787039444,Web Developer,"Database Management System (DBMS), GitHub, Node.js, REST API, Web development, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer"
Full Stack Developer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/full-stack-developer-internship-in-multiple-locations-at-tsteps-private-limited1787039308,Web Developer,".NET, Gitlab, JavaScript, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Web Development,Truly IAS,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-truly-ias1787038313,Web Developer,"CSS, HTML, JavaScript, MySQL, Next.js, Node.js, React, Certificate, Letter of recommendation, Flexible work hours"
Software Engineer,Mediahh Studio,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-software-engineer-internship-at-mediahh-studio1787036955,Web Developer,"Dart, Express.js, Flutter, Git, NestJS, Node.js, PostgreSQL, REST API, Certificate"
Angular.js Development,Bluealgo,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/work-from-home-angularjs-development-internship-at-bluealgo1787029519,Web Developer,"Angular 2.0, Angular 7.0, AngularJS, CSS, HTML, JavaScript, Node.js, REST API, Certificate"
AI Prompt Engineering,InAmigos Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-ai-prompt-engineering-internship-at-inamigos-foundation1787035109,Web Developer,"English Proficiency (Spoken), English Proficiency (Written), Web development, Certificate, Letter of recommendation, Flexible work hours"
Pipeline Development,NY VFXWAALA,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/pipeline-development-internship-in-mumbai-at-ny-vfxwaala1787034937,Web Developer,"C++ Programming, Java, Python, Letter of recommendation, Informal dress code"
Backend Development,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-tsteps-private-limited1787032814,Web Developer,"Django, Express.js, HTML, Java, MongoDB, MySQL, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Full Stack Development,Experiences.digital,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-gurgaon-at-experiencesdigital1787032271,Web Developer,"JavaScript, MongoDB, Node.js, React, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week"
Front End Development,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-multiple-locations-at-tsteps-private-limited1787031049,Web Developer,"AngularJS, CSS, HTML, JavaScript, jQuery, Node.js, React, Redux, REST API, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Software Engineer,TSTEPS PRIVATE LIMITED,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/software-engineer-internship-in-multiple-locations-at-tsteps-private-limited1787030682,Web Developer,"Java, JavaScript, Python, TypeScript, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages"
Software Development,"PowerPoint-Generator-API (London, United Kingdom)",,"₹ 19,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-powerpoint-generator-api1787026684,Web Developer,"Amazon EC2, Artificial intelligence, Django, PostgreSQL, Python, React, TypeScript, Letter of recommendation, 5 days a week"
AI-Native App Development,Builtly AI Private Limited,,"₹ 15,000 /month",https://internshala.com/internship/detail/ai-native-app-development-internship-in-hyderabad-at-builtly-ai-private-limited1787020215,Web Developer,"Mobile Application Development, React, React Native, Web development, Certificate, Letter of recommendation"
Java Development,Optimasys,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-java-development-internship-at-optimasys1787018476,Web Developer,"Hibernate ORM(Java), J2EE, Java, JSP, MySQL, Spring MVC, Certificate, Letter of recommendation, Flexible work hours, 5 days a week"
Web Development,Optimasys,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-web-development-internship-at-optimasys1787018443,Web Developer,"Bootstrap, CSS, HTML, JavaScript, jQuery, MySQL, Node.js, PHP, React, WordPress, Certificate, Letter of recommendation, Flexible work hours, 5 days a week"
Python Development,Optimasys,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-python-development-internship-at-optimasys1787018409,Web Developer,"CSS, Django, Flask, HTML, Machine Learning, Python, REST API, Certificate, Letter of recommendation, Flexible work hours, 5 days a week"
Java Development,24Coordinates Pvt Ltd,,"₹ 7,000 /month",https://internshala.com/internship/detail/java-development-internship-in-bangalore-at-24coordinates-pvt-ltd1786965752,Web Developer,"Java, JSP, Oracle, Spring MVC"
AI Full Stack Developer,Moguls Online Private Limited,,"₹ 10,000 - 12,000 /month",https://internshala.com/internship/detail/ai-full-stack-developer-internship-in-delhi-at-moguls-online-private-limited1786967841,Web Developer,"Debugging, GitHub, GitHub Copilot (GenAI), LLMOps, Problem Solving, Prompt Engineering, Python, REST API, Letter of recommendation, Informal dress code"
Full Stack Development,Pledge India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-pledge-india-foundation1786966587,Web Developer,"English Proficiency (Spoken), HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Web Development,Pledge India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-pledge-india-foundation1786966499,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Front End Development,Women First India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-women-first-india-foundation1786966298,Web Developer,"Frontend development, HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Front End Development,Hope Behind Tails Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-hope-behind-tails-foundation1786965815,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Web Development,Hope Behind Tails Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-hope-behind-tails-foundation1786965754,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Backend Development,Hope Behind Tails Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-hope-behind-tails-foundation1786965729,Web Developer,"Backend development, HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Web Development,Basti Ki Pathshala Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-basti-ki-pathshala-foundation1786965422,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Java Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-java-development-internship-at-nayepankh-foundation1786963771,Web Developer,"HTML, Java, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Full Stack Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-nayepankh-foundation1786963753,Web Developer,"HTML, Web development, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Front End Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-nayepankh-foundation1786963710,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Software Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-software-development-internship-at-queens-of-change-foundation1786963485,Web Developer,".NET, C++ Programming, CSS, English Proficiency (Spoken), HTML, Java, JavaScript, MySQL, Node.js, Product Development, Product Lifecycle Management(PLM), Project Management, Python, React, Software Development Life Cycle (SDLC), Software Testing, Troubleshooting, Certificate, Letter of recommendation, Flexible work hours, Job offer"
Digital Marketing,AI Vantage Tech Services Private Limited,,"₹ 3,000 - 8,000 /month",https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-ghaziabad-at-ai-vantage-tech-services-private-limited1786960943,Web Developer,"Digital Marketing, Email Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Web Design, Web development, Certificate, Flexible work hours, Informal dress code, Job offer"
Applied AI & Full Stack Engineering,Geopage Conultants,,"₹ 7,500 - 10,000 /month",https://internshala.com/internship/detail/applied-ai-full-stack-engineering-internship-in-bangalore-at-geopage-conultants1786960887,Web Developer,"Generative AI Tools, GIS, Machine Learning, PostgreSQL, Python, React, Certificate, Letter of recommendation"
WordPress Development,Grivaa Consultancy Services,,"₹ 5,000 - 8,000 /month",https://internshala.com/internship/detail/work-from-home-wordpress-development-internship-at-grivaa-consultancy-services1786959582,Web Developer,"Artificial intelligence, Content Management, Search Engine Optimization (SEO), Web development, WordPress, Certificate, Flexible work hours"
Django Rest Framework,Tradexa Technologies Private Limited,,"₹ 15,000 - 17,100 /month",https://internshala.com/internship/detail/django-rest-framework-internship-in-pune-at-tradexa-technologies-private-limited1786952962,Web Developer,"AWS Lambda, CI/CD, Django, Django Rest Framework, Docker, FastAPI, Flask, Git, JSON, Microservices, Python, REST API, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer"
Founders Office (Technical),Dopties,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/founders-office-technical-internship-in-pune-at-dopties1786952423,Web Developer,"Backend development, Key Account Management, Next.js, React, Research and Analytics, Search Engine Optimization (SEO), Shadcn, SQL, Strategy, Tailwind CSS, TypeScript, Certificate, Letter of recommendation, Informal dress code"
